symbol,missing_open_time
ETHUSDT,2020-04-25T02:50:00+0000
ETHUSDT,2020-04-25T02:55:00+0000
ETHUSDT,2020-04-25T03:00:00+0000
ETHUSDT,2020-04-25T03:05:00+0000
ETHUSDT,2020-04-25T03:10:00+0000
ETHUSDT,2020-04-25T03:15:00+0000
ETHUSDT,2020-04-25T03:20:00+0000
ETHUSDT,2020-04-25T03:25:00+0000
ETHUSDT,2020-04-25T03:30:00+0000
ETHUSDT,2020-04-25T03:35:00+0000
ETHUSDT,2020-04-25T03:40:00+0000
ETHUSDT,2020-04-25T03:45:00+0000
ETHUSDT,2020-04-25T03:50:00+0000
ETHUSDT,2020-04-25T03:55:00+0000
ETHUSDT,2020-04-25T04:00:00+0000
ETHUSDT,2020-04-25T04:05:00+0000
ETHUSDT,2020-04-25T04:10:00+0000
ETHUSDT,2020-04-25T04:15:00+0000
ETHUSDT,2020-04-25T04:20:00+0000
ETHUSDT,2020-04-25T04:25:00+0000
ETHUSDT,2020-06-28T02:00:00+0000
ETHUSDT,2020-06-28T02:05:00+0000
ETHUSDT,2020-06-28T02:10:00+0000
ETHUSDT,2020-06-28T02:15:00+0000
ETHUSDT,2020-06-28T02:20:00+0000
ETHUSDT,2020-06-28T02:25:00+0000
ETHUSDT,2020-06-28T02:30:00+0000
ETHUSDT,2020-06-28T02:35:00+0000
ETHUSDT,2020-06-28T02:40:00+0000
ETHUSDT,2020-06-28T02:45:00+0000
ETHUSDT,2020-06-28T02:50:00+0000
ETHUSDT,2020-06-28T02:55:00+0000
ETHUSDT,2020-06-28T03:00:00+0000
ETHUSDT,2020-06-28T03:05:00+0000
ETHUSDT,2020-06-28T03:10:00+0000
ETHUSDT,2020-06-28T03:15:00+0000
ETHUSDT,2020-06-28T03:20:00+0000
ETHUSDT,2020-06-28T03:25:00+0000
ETHUSDT,2020-06-28T03:30:00+0000
ETHUSDT,2020-06-28T03:35:00+0000
ETHUSDT,2020-06-28T03:40:00+0000
ETHUSDT,2020-06-28T03:45:00+0000
ETHUSDT,2020-06-28T03:50:00+0000
ETHUSDT,2020-06-28T03:55:00+0000
ETHUSDT,2020-06-28T04:00:00+0000
ETHUSDT,2020-06-28T04:05:00+0000
ETHUSDT,2020-06-28T04:10:00+0000
ETHUSDT,2020-06-28T04:15:00+0000
ETHUSDT,2020-06-28T04:20:00+0000
ETHUSDT,2020-06-28T04:25:00+0000
ETHUSDT,2020-06-28T04:30:00+0000
ETHUSDT,2020-06-28T04:35:00+0000
ETHUSDT,2020-06-28T04:40:00+0000
ETHUSDT,2020-06-28T04:45:00+0000
ETHUSDT,2020-06-28T04:50:00+0000
ETHUSDT,2020-06-28T04:55:00+0000
ETHUSDT,2020-06-28T05:00:00+0000
ETHUSDT,2020-06-28T05:05:00+0000
ETHUSDT,2020-06-28T05:10:00+0000
ETHUSDT,2020-06-28T05:15:00+0000
ETHUSDT,2020-06-28T05:20:00+0000
ETHUSDT,2020-06-28T05:25:00+0000
ETHUSDT,2020-11-30T06:00:00+0000
ETHUSDT,2020-11-30T06:05:00+0000
ETHUSDT,2020-11-30T06:10:00+0000
ETHUSDT,2020-11-30T06:15:00+0000
ETHUSDT,2020-11-30T06:20:00+0000
ETHUSDT,2020-11-30T06:25:00+0000
ETHUSDT,2020-11-30T06:30:00+0000
ETHUSDT,2020-11-30T06:35:00+0000
ETHUSDT,2020-11-30T06:40:00+0000
ETHUSDT,2020-11-30T06:45:00+0000
ETHUSDT,2020-11-30T06:50:00+0000
ETHUSDT,2020-11-30T06:55:00+0000
ETHUSDT,2020-12-21T14:10:00+0000
ETHUSDT,2020-12-21T14:15:00+0000
ETHUSDT,2020-12-21T14:20:00+0000
ETHUSDT,2020-12-21T14:25:00+0000
ETHUSDT,2020-12-21T14:30:00+0000
ETHUSDT,2020-12-21T14:35:00+0000
ETHUSDT,2020-12-21T14:40:00+0000
ETHUSDT,2020-12-21T14:45:00+0000
ETHUSDT,2020-12-21T14:50:00+0000
ETHUSDT,2020-12-21T14:55:00+0000
ETHUSDT,2020-12-21T15:00:00+0000
ETHUSDT,2020-12-21T15:05:00+0000
ETHUSDT,2020-12-21T15:10:00+0000
ETHUSDT,2020-12-21T15:15:00+0000
ETHUSDT,2020-12-21T15:20:00+0000
ETHUSDT,2020-12-21T15:25:00+0000
ETHUSDT,2020-12-21T15:30:00+0000
ETHUSDT,2020-12-21T15:35:00+0000
ETHUSDT,2020-12-21T15:40:00+0000
ETHUSDT,2020-12-21T15:45:00+0000
ETHUSDT,2020-12-21T15:50:00+0000
ETHUSDT,2020-12-21T15:55:00+0000
ETHUSDT,2020-12-21T16:00:00+0000
ETHUSDT,2020-12-21T16:05:00+0000
ETHUSDT,2020-12-21T16:10:00+0000
ETHUSDT,2020-12-21T16:15:00+0000
ETHUSDT,2020-12-21T16:20:00+0000
ETHUSDT,2020-12-21T16:25:00+0000
ETHUSDT,2020-12-21T16:30:00+0000
ETHUSDT,2020-12-21T16:35:00+0000
ETHUSDT,2020-12-21T16:40:00+0000
ETHUSDT,2020-12-21T16:45:00+0000
ETHUSDT,2020-12-21T16:50:00+0000
ETHUSDT,2020-12-21T16:55:00+0000
ETHUSDT,2020-12-21T17:00:00+0000
ETHUSDT,2020-12-21T17:05:00+0000
ETHUSDT,2020-12-21T17:10:00+0000
ETHUSDT,2020-12-21T17:15:00+0000
ETHUSDT,2020-12-21T17:20:00+0000
ETHUSDT,2020-12-21T17:25:00+0000
ETHUSDT,2020-12-21T17:30:00+0000
ETHUSDT,2020-12-21T17:35:00+0000
ETHUSDT,2020-12-21T17:40:00+0000
ETHUSDT,2020-12-21T17:45:00+0000
ETHUSDT,2020-12-21T17:50:00+0000
ETHUSDT,2020-12-21T17:55:00+0000
ETHUSDT,2020-12-25T02:00:00+0000
ETHUSDT,2020-12-25T02:05:00+0000
ETHUSDT,2020-12-25T02:10:00+0000
ETHUSDT,2020-12-25T02:15:00+0000
ETHUSDT,2020-12-25T02:20:00+0000
ETHUSDT,2020-12-25T02:25:00+0000
ETHUSDT,2020-12-25T02:30:00+0000
ETHUSDT,2020-12-25T02:35:00+0000
ETHUSDT,2020-12-25T02:40:00+0000
ETHUSDT,2020-12-25T02:45:00+0000
ETHUSDT,2020-12-25T02:50:00+0000
ETHUSDT,2020-12-25T02:55:00+0000
ETHUSDT,2021-02-11T03:45:00+0000
ETHUSDT,2021-02-11T03:50:00+0000
ETHUSDT,2021-02-11T03:55:00+0000
ETHUSDT,2021-02-11T04:00:00+0000
ETHUSDT,2021-02-11T04:05:00+0000
ETHUSDT,2021-02-11T04:10:00+0000
ETHUSDT,2021-02-11T04:15:00+0000
ETHUSDT,2021-02-11T04:20:00+0000
ETHUSDT,2021-02-11T04:25:00+0000
ETHUSDT,2021-02-11T04:30:00+0000
ETHUSDT,2021-02-11T04:35:00+0000
ETHUSDT,2021-02-11T04:40:00+0000
ETHUSDT,2021-02-11T04:45:00+0000
ETHUSDT,2021-02-11T04:50:00+0000
ETHUSDT,2021-02-11T04:55:00+0000
ETHUSDT,2021-03-06T02:00:00+0000
ETHUSDT,2021-03-06T02:05:00+0000
ETHUSDT,2021-03-06T02:10:00+0000
ETHUSDT,2021-03-06T02:15:00+0000
ETHUSDT,2021-03-06T02:20:00+0000
ETHUSDT,2021-03-06T02:25:00+0000
ETHUSDT,2021-03-06T02:30:00+0000
ETHUSDT,2021-03-06T02:35:00+0000
ETHUSDT,2021-03-06T02:40:00+0000
ETHUSDT,2021-03-06T02:45:00+0000
ETHUSDT,2021-03-06T02:50:00+0000
ETHUSDT,2021-03-06T02:55:00+0000
ETHUSDT,2021-03-06T03:00:00+0000
ETHUSDT,2021-03-06T03:05:00+0000
ETHUSDT,2021-03-06T03:10:00+0000
ETHUSDT,2021-03-06T03:15:00+0000
ETHUSDT,2021-03-06T03:20:00+0000
ETHUSDT,2021-03-06T03:25:00+0000
ETHUSDT,2021-04-20T02:00:00+0000
ETHUSDT,2021-04-20T02:05:00+0000
ETHUSDT,2021-04-20T02:10:00+0000
ETHUSDT,2021-04-20T02:15:00+0000
ETHUSDT,2021-04-20T02:20:00+0000
ETHUSDT,2021-04-20T02:25:00+0000
ETHUSDT,2021-04-20T02:30:00+0000
ETHUSDT,2021-04-20T02:35:00+0000
ETHUSDT,2021-04-20T02:40:00+0000
ETHUSDT,2021-04-20T02:45:00+0000
ETHUSDT,2021-04-20T02:50:00+0000
ETHUSDT,2021-04-20T02:55:00+0000
ETHUSDT,2021-04-20T03:00:00+0000
ETHUSDT,2021-04-20T03:05:00+0000
ETHUSDT,2021-04-20T03:10:00+0000
ETHUSDT,2021-04-20T03:15:00+0000
ETHUSDT,2021-04-20T03:20:00+0000
ETHUSDT,2021-04-20T03:25:00+0000
ETHUSDT,2021-04-20T03:30:00+0000
ETHUSDT,2021-04-20T03:35:00+0000
ETHUSDT,2021-04-20T03:40:00+0000
ETHUSDT,2021-04-20T03:45:00+0000
ETHUSDT,2021-04-20T03:50:00+0000
ETHUSDT,2021-04-20T03:55:00+0000
ETHUSDT,2021-04-20T04:00:00+0000
ETHUSDT,2021-04-20T04:05:00+0000
ETHUSDT,2021-04-20T04:10:00+0000
ETHUSDT,2021-04-20T04:15:00+0000
ETHUSDT,2021-04-20T04:20:00+0000
ETHUSDT,2021-04-20T04:25:00+0000
ETHUSDT,2021-04-25T04:05:00+0000
ETHUSDT,2021-04-25T04:10:00+0000
ETHUSDT,2021-04-25T04:15:00+0000
ETHUSDT,2021-04-25T04:20:00+0000
ETHUSDT,2021-04-25T04:25:00+0000
ETHUSDT,2021-04-25T04:30:00+0000
ETHUSDT,2021-04-25T04:35:00+0000
ETHUSDT,2021-04-25T04:40:00+0000
ETHUSDT,2021-04-25T04:45:00+0000
ETHUSDT,2021-04-25T04:50:00+0000
ETHUSDT,2021-04-25T04:55:00+0000
ETHUSDT,2021-04-25T05:00:00+0000
ETHUSDT,2021-04-25T05:05:00+0000
ETHUSDT,2021-04-25T05:10:00+0000
ETHUSDT,2021-04-25T05:15:00+0000
ETHUSDT,2021-04-25T05:20:00+0000
ETHUSDT,2021-04-25T05:25:00+0000
ETHUSDT,2021-04-25T05:30:00+0000
ETHUSDT,2021-04-25T05:35:00+0000
ETHUSDT,2021-04-25T05:40:00+0000
ETHUSDT,2021-04-25T05:45:00+0000
ETHUSDT,2021-04-25T05:50:00+0000
ETHUSDT,2021-04-25T05:55:00+0000
ETHUSDT,2021-04-25T06:00:00+0000
ETHUSDT,2021-04-25T06:05:00+0000
ETHUSDT,2021-04-25T06:10:00+0000
ETHUSDT,2021-04-25T06:15:00+0000
ETHUSDT,2021-04-25T06:20:00+0000
ETHUSDT,2021-04-25T06:25:00+0000
ETHUSDT,2021-04-25T06:30:00+0000
ETHUSDT,2021-04-25T06:35:00+0000
ETHUSDT,2021-04-25T06:40:00+0000
ETHUSDT,2021-04-25T06:45:00+0000
ETHUSDT,2021-04-25T06:50:00+0000
ETHUSDT,2021-04-25T06:55:00+0000
ETHUSDT,2021-04-25T07:00:00+0000
ETHUSDT,2021-04-25T07:05:00+0000
ETHUSDT,2021-04-25T07:10:00+0000
ETHUSDT,2021-04-25T07:15:00+0000
ETHUSDT,2021-04-25T07:20:00+0000
ETHUSDT,2021-04-25T07:25:00+0000
ETHUSDT,2021-04-25T07:30:00+0000
ETHUSDT,2021-04-25T07:35:00+0000
ETHUSDT,2021-04-25T07:40:00+0000
ETHUSDT,2021-04-25T07:45:00+0000
ETHUSDT,2021-04-25T07:50:00+0000
ETHUSDT,2021-04-25T07:55:00+0000
ETHUSDT,2021-04-25T08:00:00+0000
ETHUSDT,2021-04-25T08:05:00+0000
ETHUSDT,2021-04-25T08:10:00+0000
ETHUSDT,2021-04-25T08:15:00+0000
ETHUSDT,2021-04-25T08:20:00+0000
ETHUSDT,2021-04-25T08:25:00+0000
ETHUSDT,2021-04-25T08:30:00+0000
ETHUSDT,2021-04-25T08:35:00+0000
ETHUSDT,2021-04-25T08:40:00+0000
ETHUSDT,2021-08-13T02:00:00+0000
ETHUSDT,2021-08-13T02:05:00+0000
ETHUSDT,2021-08-13T02:10:00+0000
ETHUSDT,2021-08-13T02:15:00+0000
ETHUSDT,2021-08-13T02:20:00+0000
ETHUSDT,2021-08-13T02:25:00+0000
ETHUSDT,2021-08-13T02:30:00+0000
ETHUSDT,2021-08-13T02:35:00+0000
ETHUSDT,2021-08-13T02:40:00+0000
ETHUSDT,2021-08-13T02:45:00+0000
ETHUSDT,2021-08-13T02:50:00+0000
ETHUSDT,2021-08-13T02:55:00+0000
ETHUSDT,2021-08-13T03:00:00+0000
ETHUSDT,2021-08-13T03:05:00+0000
ETHUSDT,2021-08-13T03:10:00+0000
ETHUSDT,2021-08-13T03:15:00+0000
ETHUSDT,2021-08-13T03:20:00+0000
ETHUSDT,2021-08-13T03:25:00+0000
ETHUSDT,2021-08-13T03:30:00+0000
ETHUSDT,2021-08-13T03:35:00+0000
ETHUSDT,2021-08-13T03:40:00+0000
ETHUSDT,2021-08-13T03:45:00+0000
ETHUSDT,2021-08-13T03:50:00+0000
ETHUSDT,2021-08-13T03:55:00+0000
ETHUSDT,2021-08-13T04:00:00+0000
ETHUSDT,2021-08-13T04:05:00+0000
ETHUSDT,2021-08-13T04:10:00+0000
ETHUSDT,2021-08-13T04:15:00+0000
ETHUSDT,2021-08-13T04:20:00+0000
ETHUSDT,2021-08-13T04:25:00+0000
ETHUSDT,2021-08-13T04:30:00+0000
ETHUSDT,2021-08-13T04:35:00+0000
ETHUSDT,2021-08-13T04:40:00+0000
ETHUSDT,2021-08-13T04:45:00+0000
ETHUSDT,2021-08-13T04:50:00+0000
ETHUSDT,2021-08-13T04:55:00+0000
ETHUSDT,2021-08-13T05:00:00+0000
ETHUSDT,2021-08-13T05:05:00+0000
ETHUSDT,2021-08-13T05:10:00+0000
ETHUSDT,2021-08-13T05:15:00+0000
ETHUSDT,2021-08-13T05:20:00+0000
ETHUSDT,2021-08-13T05:25:00+0000
ETHUSDT,2021-08-13T05:30:00+0000
ETHUSDT,2021-08-13T05:35:00+0000
ETHUSDT,2021-08-13T05:40:00+0000
ETHUSDT,2021-08-13T05:45:00+0000
ETHUSDT,2021-08-13T05:50:00+0000
ETHUSDT,2021-08-13T05:55:00+0000
ETHUSDT,2021-08-13T06:00:00+0000
ETHUSDT,2021-08-13T06:05:00+0000
ETHUSDT,2021-08-13T06:10:00+0000
ETHUSDT,2021-08-13T06:15:00+0000
ETHUSDT,2021-08-13T06:20:00+0000
ETHUSDT,2021-08-13T06:25:00+0000
ETHUSDT,2021-09-29T07:00:00+0000
ETHUSDT,2021-09-29T07:05:00+0000
ETHUSDT,2021-09-29T07:10:00+0000
ETHUSDT,2021-09-29T07:15:00+0000
ETHUSDT,2021-09-29T07:20:00+0000
ETHUSDT,2021-09-29T07:25:00+0000
ETHUSDT,2021-09-29T07:30:00+0000
ETHUSDT,2021-09-29T07:35:00+0000
ETHUSDT,2021-09-29T07:40:00+0000
ETHUSDT,2021-09-29T07:45:00+0000
ETHUSDT,2021-09-29T07:50:00+0000
ETHUSDT,2021-09-29T07:55:00+0000
ETHUSDT,2021-09-29T08:00:00+0000
ETHUSDT,2021-09-29T08:05:00+0000
ETHUSDT,2021-09-29T08:10:00+0000
ETHUSDT,2021-09-29T08:15:00+0000
ETHUSDT,2021-09-29T08:20:00+0000
ETHUSDT,2021-09-29T08:25:00+0000
ETHUSDT,2021-09-29T08:30:00+0000
ETHUSDT,2021-09-29T08:35:00+0000
ETHUSDT,2021-09-29T08:40:00+0000
ETHUSDT,2021-09-29T08:45:00+0000
ETHUSDT,2021-09-29T08:50:00+0000
ETHUSDT,2021-09-29T08:55:00+0000
ETHUSDT,2023-03-24T12:40:00+0000
ETHUSDT,2023-03-24T12:45:00+0000
ETHUSDT,2023-03-24T12:50:00+0000
ETHUSDT,2023-03-24T12:55:00+0000
ETHUSDT,2023-03-24T13:00:00+0000
ETHUSDT,2023-03-24T13:05:00+0000
ETHUSDT,2023-03-24T13:10:00+0000
ETHUSDT,2023-03-24T13:15:00+0000
ETHUSDT,2023-03-24T13:20:00+0000
ETHUSDT,2023-03-24T13:25:00+0000
ETHUSDT,2023-03-24T13:30:00+0000
ETHUSDT,2023-03-24T13:35:00+0000
ETHUSDT,2023-03-24T13:40:00+0000
ETHUSDT,2023-03-24T13:45:00+0000
ETHUSDT,2023-03-24T13:50:00+0000
ETHUSDT,2023-03-24T13:55:00+0000
